SourceBlock,Instrument,ExpiryLbl,TenorLbl,Te,SwapTenorY,FwdRate,MoneynessBP,Strike,OptType,PremiumBP,Annuity_Te,PricePerAnnuity,Model,Shift,ImplVol,Status,CashIRR_Annuity,PricePerCashIRRAnnuity,CashIRRPremiumBP,CashIRRStatus
ATM,ATM 2M x 3Y,2M,3Y,0.16712328767123288,3.0,-0.00335,0.0,-0.00335,CALL/PAYER,11.75,3.0306799835852694,0.00038770177199968993,NORMAL,0.0,0.002377219235168826,OK,3.0202128178734418,0.00038770177272228075,11.709418634880882,OK
ATM,ATM 2M x 3Y,2M,3Y,0.16712328767123288,3.0,-0.00335,0.0,-0.00335,CALL/PAYER,11.75,3.0306799835852694,0.00038770177199968993,BLACK_SHIFT,0.01,0.357795275419553,OK,3.0202128178734418,0.0003877017720177035,11.70941861360115,OK
ATM,ATM 2M x 3Y,2M,3Y,0.16712328767123288,3.0,-0.00335,0.0,-0.00335,CALL/PAYER,11.75,3.0306799835852694,0.00038770177199968993,BLACK_SHIFT,0.02,0.14279620286742534,OK,3.0202128178734418,0.0003877017719757375,11.709418612333687,OK
ATM,ATM 2M x 3Y,2M,3Y,0.16712328767123288,3.0,-0.00335,0.0,-0.00335,CALL/PAYER,11.75,3.0306799835852694,0.00038770177199968993,BLACK_SHIFT,0.03,0.0892064150916182,OK,3.0202128178734418,0.00038770177199670686,11.709418612967006,OK
ATM,ATM 2M x 3Y,2M,3Y,0.16712328767123288,3.0,-0.00335,0.0,-0.00335,CALL/PAYER,11.75,3.0306799835852694,0.00038770177199968993,BLACK_SHIFT,0.05,0.050959533068184557,OK,3.0202128178734418,0.0003877017718289556,11.709418607900561,OK
ATM,ATM 2M x 4Y,2M,4Y,0.16712328767123288,4.0,-0.00296,0.0,-0.00296,CALL/PAYER,18.25,4.04958176187642,0.00045066382340539917,NORMAL,0.0,0.0027632752520288994,OK,4.029776167269175,0.0004506638251457391,18.160743420226623,OK
ATM,ATM 2M x 4Y,2M,4Y,0.16712328767123288,4.0,-0.00296,0.0,-0.00296,CALL/PAYER,18.25,4.04958176187642,0.00045066382340539917,BLACK_SHIFT,0.01,0.39293273411970775,OK,4.029776167269175,0.00045066382338405497,18.160743349234696,OK
ATM,ATM 2M x 4Y,2M,4Y,0.16712328767123288,4.0,-0.00296,0.0,-0.00296,CALL/PAYER,18.25,4.04958176187642,0.00045066382340539917,BLACK_SHIFT,0.02,0.1621937468048038,OK,4.029776167269175,0.0004506638233483448,18.16074334779566,OK
ATM,ATM 2M x 4Y,2M,4Y,0.16712328767123288,4.0,-0.00296,0.0,-0.00296,CALL/PAYER,18.25,4.04958176187642,0.00045066382340539917,BLACK_SHIFT,0.03,0.1021995643493249,OK,4.029776167269175,0.0004506638233146877,18.16074334643935,OK
ATM,ATM 2M x 4Y,2M,4Y,0.16712328767123288,4.0,-0.00296,0.0,-0.00296,CALL/PAYER,18.25,4.04958176187642,0.00045066382340539917,BLACK_SHIFT,0.05,0.05874450773199995,OK,4.029776167269175,0.0004506638233562413,18.16074334811387,OK
ATM,ATM 2M x 5Y,2M,5Y,0.16712328767123288,5.0,-0.0025,0.0,-0.0025,CALL/PAYER,24.75,5.0711330922269084,0.0004880566049023065,NORMAL,0.0,0.002992551556698883,OK,5.037719868323565,0.0004880566025760687,24.586924436639592,OK
ATM,ATM 2M x 5Y,2M,5Y,0.16712328767123288,5.0,-0.0025,0.0,-0.0025,CALL/PAYER,24.75,5.0711330922269084,0.0004880566049023065,BLACK_SHIFT,0.01,0.39945025980988436,OK,5.037719868323565,0.0004880566049186019,24.586924554649855,OK
ATM,ATM 2M x 5Y,2M,5Y,0.16712328767123288,5.0,-0.0025,0.0,-0.0025,CALL/PAYER,24.75,5.0711330922269084,0.0004880566049023065,BLACK_SHIFT,0.02,0.17103778242195022,OK,5.037719868323565,0.0004880566048769061,24.586924552549334,OK
ATM,ATM 2M x 5Y,2M,5Y,0.16712328767123288,5.0,-0.0025,0.0,-0.0025,CALL/PAYER,24.75,5.0711330922269084,0.0004880566049023065,BLACK_SHIFT,0.03,0.1088290319839332,OK,5.037719868323565,0.0004880566048833246,24.58692455287268,OK
ATM,ATM 2M x 5Y,2M,5Y,0.16712328767123288,5.0,-0.0025,0.0,-0.0025,CALL/PAYER,24.75,5.0711330922269084,0.0004880566049023065,BLACK_SHIFT,0.05,0.0630028270913223,OK,5.037719868323565,0.00048805660490921707,24.58692455417707,OK
