C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
DeltaPrice_per1bp (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,-1.9137382809611304e-08,-7.177784011406263e-08,-1.6807618552098155e-07,-3.317032195063187e-07,-5.585642668180152e-07,-8.654247426325914e-07,-1.2529162927941733e-06,-1.7282852787440179e-06,-2.286720857271733e-06,-2.9433550589060913e-06,-7.300944059989145e-06,-1.3418709637814893e-05,-2.066416831801727e-05,-2.9372153604026447e-05
2M,-3.2497712066350286e-08,-1.0924257767357988e-07,-2.565052068822486e-07,-4.90159616391446e-07,-7.893319756809528e-07,-1.2471867574741502e-06,-1.8566242108315702e-06,-2.558811202001303e-06,-3.4025968500390995e-06,-4.354965724956706e-06,-1.0679732762880983e-05,-1.9655984741734137e-05,-3.0327075453095977e-05,-4.305027499105407e-05
3M,-4.118518494387331e-08,-1.3710586724583186e-07,-3.1854864795410884e-07,-6.316068900936564e-07,-1.0325974573555532e-06,-1.5975096077509377e-06,-2.3557735649675448e-06,-3.2532389102246784e-06,-4.307671490601497e-06,-5.550656388989684e-06,-1.3477708286282454e-05,-2.4678979214467514e-05,-3.759557419592856e-05,-5.3885459168692146e-05
6M,-6.821663167735476e-08,-2.220200047892869e-07,-4.916781161399396e-07,-9.460191137060939e-07,-1.5528914052496151e-06,-2.3590214411947633e-06,-3.423794824458011e-06,-4.6837181996257975e-06,-6.203874028058695e-06,-7.906681505076176e-06,-1.8864606582737802e-05,-3.383775772566974e-05,-5.197298559591587e-05,-7.33279035116413e-05
9M,-1.0166617778008328e-07,-3.1228361946935153e-07,-7.00631768712525e-07,-1.304243342413043e-06,-2.08096397001559e-06,-3.1081677602550582e-06,-4.406535314749808e-06,-5.952778015717373e-06,-7.822511827483383e-06,-9.97130474526261e-06,-2.328530714111617e-05,-4.117578929077582e-05,-6.276713094423399e-05,-8.846275713551368e-05
1Y,-1.4652486721559042e-07,-4.2289192044745884e-07,-9.162546370557697e-07,-1.6529851483389851e-06,-2.6049528112883165e-06,-3.861209003529721e-06,-5.423880486419556e-06,-7.294764768041265e-06,-9.46925195608443e-06,-1.1981703096123202e-05,-2.7078756833791852e-05,-4.7620978532618346e-05,-7.242426911071463e-05,-0.00010212272112541029
18M,-2.528902068827291e-07,-6.977853413215154e-07,-1.4441216844861918e-06,-2.4691166072762657e-06,-3.777605401982332e-06,-5.510898084410171e-06,-7.5889569219578244e-06,-9.9719592022991e-06,-1.2802965054460712e-05,-1.603246401410907e-05,-3.472985791220383e-05,-5.984566974362886e-05,-8.971353980052389e-05,-0.00012690661206953284
2Y,-4.027067367978919e-07,-1.0813626419092262e-06,-2.12969197057734e-06,-3.489444477167509e-06,-5.217722487661977e-06,-7.353647369570666e-06,-9.933120471975396e-06,-1.2893044858203037e-05,-1.6324257345814605e-05,-2.0237719789918345e-05,-4.24515092892661e-05,-7.146088841251384e-05,-0.00010644910845870871,-0.0001490141154144264
3Y,-8.748071811180643e-07,-2.1309789038847613e-06,-3.842305955685458e-06,-5.9870999037573965e-06,-8.665891994572227e-06,-1.173170395528465e-05,-1.543864988337781e-05,-1.9395820785316625e-05,-2.395771267595568e-05,-2.900579833144818e-05,-5.724345033572451e-05,-9.355723875243452e-05,-0.00013730206762518,-0.00018833876475736575
4Y,-1.5209293420970624e-06,-3.483644289632761e-06,-6.0344534543601325e-06,-9.090512612958486e-06,-1.2680737917133186e-05,-1.671816209025784e-05,-2.1420359133435716e-05,-2.6637147221605362e-05,-3.230116559097107e-05,-3.826981024222388e-05,-7.225397392097559e-05,-0.00011488954852992411,-0.00016492105485705404,-0.00022364975329892064
