C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
VegaPrice_FD (dv=0.0025) - per1pct (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
10Y5Y,0.0003068976243073007,0.0005879325675797847,,0.0010261273150689704,0.0012800531603393687,0.0013689684099021716,,0.006837194490046363,0.006341951554625654,,0.005104002608779819,0.0038799393100323945,0.0028436272291735365,
10Y10Y,0.0006014230199444115,0.0011418156882650743,,0.0019503165993300464,0.002382918895339407,0.002508501238077263,,0.013451626132411949,0.0124702538494342,,0.010014469042708094,0.007578379999350831,0.0055050625875585416,
10Y20Y,0.0011625095638830207,0.002178375292055872,,0.003598008602790983,0.004237267955707847,0.00431725203325526,,0.025474581599113037,0.023454949547825205,,0.018473729376605477,0.013632434491837344,0.009601136350004702,
10Y30Y,0.001706197587415137,0.0031761223731316714,,0.005154719596321831,0.005946687118365768,0.0059402171142351025,,0.03650464168287445,0.03340538213537946,,0.02586985044453993,0.01870107602231611,0.012867673132836288,
15Y2Y,0.00015323589954638922,0.00029891406819187175,,0.0005500313224089487,0.0007357353604593918,0.0008460671249097722,,0.0034214101118908635,0.003238014525838885,,0.0027527797116063367,0.0022290581013456774,0.001747922496886537,
15Y5Y,0.00037840453894575634,0.0007338602291884177,,0.0013288292244941224,0.0017443485713757798,0.001989129867853123,,0.008391941510952796,0.007930159062389497,,0.00671930840461705,0.005431063380215937,0.004240346143986848,
15Y10Y,0.0007451378754914385,0.0014376982972834895,,0.002569287752171207,0.003324347533052012,0.0037445619335424707,,0.016248036202432897,0.015321911720353009,,0.012902144303768069,0.010338869500388329,0.007976352031616106,
15Y20Y,0.0014535691318167876,0.0027801116213497967,,0.004852597328901888,0.006107025677483119,0.006692887337950767,,0.030832459807179777,0.02886745851312,,0.023820501086685212,0.018607261985834404,0.013927932666449797,
15Y30Y,0.0021484430125801035,0.004101932024860218,,0.007117731472922098,0.008863505276188823,0.009575424256427559,,0.04453231191182301,0.04143068649050589,,0.03360429739053663,0.02573928611864037,0.018900319297375894,
20Y2Y,0.00017889028294380631,0.0003507258580212086,,0.0006551970290079536,0.0008957507686103371,0.0010630040974162942,,0.0038350325858158354,0.0036586529511503352,,0.0031825591397886864,0.0026504734430994707,0.002136486571523669,
20Y5Y,0.0004430031429929482,0.0008648047171501133,,0.001596490334791844,0.002153018422099452,0.002546002841856295,,0.009376712841636511,0.008932735192159072,,0.007745109401577317,0.006433918290931915,0.00515879102323499,
20Y10Y,0.0008745767171085039,0.001705649692354313,,0.00312500057527648,0.004176057457098999,0.004898425123956042,,0.018280283180694766,0.017365785066010327,,0.014958287755147062,0.012320881317432369,0.009773637304613253,
20Y20Y,0.0017214890822803896,0.0033301275460738133,,0.005997114203259247,0.007842906035733264,0.008987160303985204,,0.035123676157258185,0.03315570900456561,,0.028008207283695203,0.02252871755469765,0.017406696255887616,
20Y30Y,0.002554734405551864,0.00494408611395122,,0.008893799982380698,0.01155287196027365,0.013062322348226256,,0.05129289230952565,0.048106378074405085,,0.039939533289732036,0.0315376896154748,0.024004394840606073,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VegaPrice_FD (dv=0.005) - per1pct (OTM) - Collars/Strangles,,,,,,,,,,,,,,
,Collars,,,,,,ATM,Strangles,,,,,,
,50,100,150,200,300,400,ATM,50,100,150,200,300,400,
1M2Y,,,,,,,,,,,,,,
1M5Y,6.181482450107046e-06,,,,,,,1.4363614980581787e-05,,,,,,
1M10Y,1.2232006549113376e-05,,,,,,,0.00014868294426952398,,,,,,
1M20Y,-1.5436960461734304e-05,-7.580505272336594e-06,,,,,,0.0005547126268052831,3.722440481500893e-05,,,,,
1M30Y,-0.00013828705854188926,-5.013772865827273e-05,-4.3952945176695385e-06,,,,,0.0008532989669471765,7.183451160876767e-05,4.3952945176695385e-06,,,,
