C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
"DeltaPrice_FD_df=0,5bps -> per1bp (ATM STRADDLE)",,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
3M30Y,0.0008647384873227042,0.00025248598773166403,7.865620737803644e-05,2.6947215752562793e-05,,,,-3.560229906516632e-06,-3.501732424152184e-05,-2.2398330258148646e-05,-1.0931252688549187e-05,,,
6M2Y,1.0223697950695108e-05,,,,,,,-9.838346430806888e-08,,,,,,
6M5Y,9.402285062185761e-05,1.6432716864571364e-05,3.147431317348013e-06,6.688499944698771e-07,,,,1.1905933413277998e-05,5.191927157503348e-06,1.5306371646990372e-06,6.688499944698771e-07,,,
6M10Y,0.00033659549970305885,0.00011741445849092278,4.447852084858617e-05,1.879223580827229e-05,,,,2.5898268118758974e-05,1.5315838795598038e-05,8.435533306058321e-06,5.132276857352097e-06,,,
6M20Y,0.0007879317501925588,0.0003196873689221964,0.00013482923642795379,6.073734009472448e-05,,,,3.5237052498999954e-05,4.178887797077357e-06,-3.82445196420127e-06,-3.1412582117120502e-06,,,
6M30Y,0.0011795566732257941,0.00048685708424414767,0.00020787552530290336,9.42401666673254e-05,,,,4.371819071711318e-05,-8.602304392880767e-06,-1.8430538828473364e-05,-1.3776654862088794e-05,,,
9M2Y,2.136441411505408e-05,,,,,,,9.32190155685643e-07,,,,,,
9M5Y,0.00013014015773916854,2.9753921016076198e-05,6.81016830175753e-06,1.6184758580155432e-06,,,,1.4134379859595614e-05,7.637319319669232e-06,2.8056697054844006e-06,7.90537004942386e-07,,,
9M10Y,,0.00017154123345202777,7.670992095744153e-05,3.717600652402113e-05,,,,,2.2971258262797335e-05,1.4662460882079687e-05,9.623886382496045e-06,,,
9M20Y,0.0009107612235920915,0.000431635346537829,0.00021060374131572472,0.00010456532309603116,,,,5.655341704781538e-05,2.5372573063196848e-05,9.958383496874036e-06,-4.501723447186012e-06,,,
